MXAPP;AXAPP
MXASYNCJOB;AXASYNCJOB
MXATT;AXATT
MXCHANNEL;AXCHANNEL
MXCOND;AXCOND
MXCONSINVLINES;AXCONSINVLINES
MXCONTRACTTYPE;AXCONTRACTTYPE
MXCONTROL;AXCONTROL
MXDATA;AXDATA
MXDOMAIN;AXDOMAIN
MXDOMVALCOND;AXDOMVALCOND
MXDYNAMICDOMLINK;AXDYNAMICDOMLINK
MXENDPOINT;AXENDPOINT
MXEXT;AXEXT
MXGROUP;AXGROUP
MXHANDLER;AXHANDLER
MXIFACE;AXIFACE
MXINT;AXINT
MXLABEL;AXLABEL
MXLANGCODE;AXLANGCODE
MXLAUNCH;AXLAUNCH
MXLECONTEXT;AXLECONTEXT
MXLIC;AXLIC
MXLISTOVERVAL;AXLISTOVERVAL
MXLOG;AXLOG
MXLOOKUP;AXLOOKUP
MXMENU;AXMENU
MXMESSAGE;AXMESSAGE
MXMODULE;AXMODULE
MXOBJ;AXOBJ
MXPRESENTATION;AXPRESENTATION
MXPROCCOLS;AXPROCCOLS
MXPROP;AXPROP
MXQUEUE;AXQUEUE
MXRECORDLOCK;AXRECORDLOCK
MXRELATIONSHIP;AXRELATIONSHIP
MXREPLACEPROC;AXREPLACEPROC
MXROLE;AXROLE
MXSEQUENCE;AXSEQUENCE
MXSERVICE;AXSERVICE
MXSERVSECURITY;AXSERVSECURITY
MXSESSION;AXSESSION
MXSYS;AXSYS
MXTABLE;AXTABLE
MXTESTFIX;AXTESTFIX
MXTHREAD;AXTHREAD
MXTOKEN;AXTOKEN
MXTRANS;AXTRANS
MXTYPE;AXTYPE
MXUSER;AXUSER
MXUSRDB;AXUSRDB
MXVAL;AXVAL
MXVAR;AXVAR
MXVIEW;AXVIEW
MXWS;AXWS
MXXREFOVERVAL;AXXREFOVERVAL
MXapp;AXapp
MXasyncjob;AXasyncjob
MXatt;AXatt
MXchannel;AXchannel
MXcond;AXcond
MXconsinvlines;AXconsinvlines
MXcontracttype;AXcontracttype
MXcontrol;AXcontrol
MXdata;AXdata
MXdomain;AXdomain
MXdomvalcond;AXdomvalcond
MXdynamicdomlink;AXdynamicdomlink
MXendpoint;AXendpoint
MXext;AXext
MXgroup;AXgroup
MXhandler;AXhandler
MXiface;AXiface
MXint;AXint
MXlabel;AXlabel
MXlangcode;AXlangcode
MXlaunch;AXlaunch
MXlecontext;AXlecontext
MXlic;AXlic
MXlistoverval;AXlistoverval
MXlog;AXlog
MXlookup;AXlookup
MXmenu;AXmenu
MXmessage;AXmessage
MXmodule;AXmodule
MXobj;AXobj
MXpresentation;AXpresentation
MXproccols;AXproccols
MXprop;AXprop
MXqueue;AXqueue
MXrecordlock;AXrecordlock
MXrelationship;AXrelationship
MXreplaceproc;AXreplaceproc
MXrole;AXrole
MXsequence;AXsequence
MXservice;AXservice
MXservice;AXservice
MXservsecurity;AXservsecurity
MXsession;AXsession
MXsys;AXsys
MXsys;AXsys
MXtable;AXtable
MXtestfix;AXtestfix
MXthread;AXthread
MXtoken;AXtoken
MXtrans;AXtrans
MXtype;AXtype
MXuser;AXuser
MXusrdb;AXusrdb
MXval;AXval
MXvar;AXvar
MXview;AXview
MXws;AXws
MXxrefoverval;AXxrefoverval
